"breedtegraad,""lengtegraad"",""CO2"",""CH4"",""NO2"",""NH3"""
55,61,116.44,3.17,49.18,0.04
55,62,156.62,2.64,53.01,0.03
55,63,154.51,3.16,43.11,0.03
55,64,177.69,3.16,43.15,0.03
55,65,187.21,2.08,37.23,0.04
55,66,167.51,2.86,40.78,0.04
55,67,199.36,2.35,46.51,0.03
55,68,109.48,2.56,34.88,0.03
55,69,130.05,3.9,41.39,0.02
55,70,116.17,2.36,38.39,0.03
55,71,122.87,2.09,41.24,0.04
55,72,159.13,3.29,51.16,0.02
55,73,143.24,2.44,58.43,0.03
55,74,100.51,2.46,51.97,0.04
55,75,179.34,3.05,53.15,0.02
55,76,131.78,3.97,39.11,0.03
55,77,118.91,2.72,52.92,0.04
55,78,198.95,2.66,34.57,0.02
55,79,141.61,2.19,59.09,0.03
55,80,161.16,2.77,54.92,0.02
55,81,123.92,3.27,40.6,0.02
55,82,165.79,2.17,53.85,0.03
55,83,182.44,2.06,47.73,0.04
55,84,188.95,3.96,34.43,0.03
55,85,108.47,2.65,30.99,0.04
55,86,146.95,3.68,44.52,0.02
55,87,109.21,2.81,32.96,0.03
55,88,187.86,2.11,51.56,0.02
55,89,101.91,3.2,33.64,0.02
55,90,158.84,2.64,44.34,0.04
55,91,138.26,3.86,40.88,0.02
55,92,157.91,2.08,30.08,0.02
55,93,175.85,2.06,49.41,0.03
55,94,141.02,3.68,33.82,0.04
55,95,184.49,2.88,56.66,0.03
55,96,132.39,3.99,52.39,0.03
55,97,109.31,3.26,31.66,0.04
55,98,170.82,3.07,49.22,0.03
55,99,125.74,3.01,55.64,0.02
56,0,165.12,3.74,54.65,0.03
56,1,115.53,2.57,42.23,0.03
56,2,100.31,3.57,37.97,0.02
56,3,134.98,2.36,50.82,0.03
56,4,163.29,3.84,33.92,0.03
56,5,103.24,2.92,58.28,0.03
56,6,173.07,3.21,56.14,0.03
56,7,191.71,3.39,50.78,0.04
56,8,189.08,2.07,35.48,0.04
56,9,192.27,3.97,51.4,0.02
56,10,180.15,2.46,53.13,0.03
56,11,182.48,2.5,34.35,0.02
56,12,158.26,3.86,54.06,0.04
56,13,100.39,3.83,48.39,0.04
56,14,144.27,2.09,57.5,0.04
56,15,175.11,3.9,39.66,0.03
56,16,121.71,2.54,52.45,0.02
56,17,119.93,3.8,46.51,0.03
56,18,175.75,2.08,56.17,0.02
56,19,195.17,3.79,30.91,0.03
56,20,166.93,2.82,34.53,0.03
56,21,119.1,2.66,35.5,0.04
56,22,163.67,3.48,37.56,0.03
56,23,119.51,2.19,41.78,0.02
56,24,187.23,2.13,41.45,0.03
56,25,181.16,2.97,45.09,0.02
56,26,146.47,2.3,41.02,0.03
56,27,138.79,2.97,52.08,0.03
56,28,169.65,2.97,46.06,0.02
56,29,192.57,3.63,45.54,0.03
56,30,115.17,3.44,50.77,0.04
56,31,188.79,3.0,47.84,0.03
56,32,155.4,2.61,59.3,0.04
56,33,130.23,3.98,52.85,0.02
56,34,108.71,3.84,57.94,0.03
56,35,142.21,2.62,45.26,0.02
56,36,116.04,3.82,52.88,0.03
56,37,193.31,3.92,44.06,0.02
56,38,159.37,3.07,49.8,0.03
56,39,178.75,3.44,32.41,0.04
56,40,124.41,3.59,46.19,0.03
56,41,147.48,3.1,40.1,0.03
56,42,146.82,3.06,38.8,0.02
56,43,131.15,2.36,56.94,0.03
56,44,146.09,3.1,33.15,0.03
56,45,119.78,3.63,46.45,0.03
56,46,147.56,3.99,38.0,0.02
56,47,131.85,3.32,48.39,0.03
56,48,132.46,2.09,30.6,0.03
56,49,177.94,2.8,45.23,0.03
56,50,127.03,3.56,50.04,0.03
56,51,108.8,2.29,44.2,0.02
56,52,131.49,3.26,42.62,0.04
56,53,134.09,2.44,42.92,0.04
56,54,135.38,3.17,34.04,0.03
56,55,128.51,3.88,34.77,0.03
56,56,108.34,2.31,42.12,0.02
56,57,118.7,2.79,55.8,0.04
56,58,157.39,2.34,34.54,0.02
56,59,137.61,3.13,52.47,0.03
56,60,190.2,3.46,53.12,0.03
56,61,141.03,2.4,59.74,0.03
56,62,199.79,3.58,55.43,0.02
56,63,113.86,3.64,58.48,0.03
56,64,181.99,3.3,45.99,0.02
56,65,164.13,3.55,39.69,0.03
56,66,158.11,2.96,49.48,0.02
56,67,186.89,2.64,37.18,0.02
56,68,128.99,2.42,44.79,0.03
56,69,166.65,2.07,50.62,0.04
56,70,144.3,3.57,58.57,0.03
56,71,120.86,2.56,50.03,0.04
56,72,145.71,3.87,45.48,0.03
56,73,187.09,2.18,45.41,0.03
56,74,194.39,2.53,39.74,0.02
56,75,156.3,2.35,58.44,0.04
56,76,189.38,2.39,51.68,0.03
56,77,178.4,2.68,34.08,0.03
56,78,167.02,3.68,34.22,0.03
56,79,118.96,3.38,43.63,0.02
56,80,176.54,3.55,36.08,0.02
56,81,192.38,3.14,32.44,0.03
56,82,126.97,3.36,30.1,0.04
56,83,107.88,3.21,58.91,0.03
56,84,199.22,3.32,49.22,0.04
56,85,119.8,3.12,44.96,0.03
56,86,175.14,3.37,48.87,0.03
56,87,187.61,3.23,37.04,0.03
56,88,188.28,3.29,40.65,0.02
56,89,120.53,2.23,42.92,0.02
56,90,110.08,2.35,41.0,0.03
56,91,100.8,3.22,42.88,0.04
56,92,120.75,2.58,44.78,0.02
56,93,102.05,3.66,39.86,0.02
56,94,119.16,2.25,37.01,0.02
56,95,129.47,2.4,49.4,0.03
56,96,120.18,3.27,59.93,0.04
56,97,154.38,2.11,52.86,0.03
56,98,170.03,2.58,56.02,0.03
56,99,172.98,2.64,45.05,0.03
57,0,164.36,2.61,47.86,0.04
57,1,189.34,2.16,46.8,0.03
57,2,135.64,3.44,50.86,0.03
57,3,183.13,2.01,47.91,0.03
57,4,169.57,2.13,42.77,0.03
57,5,158.82,3.52,53.0,0.03
57,6,188.67,2.22,51.64,0.04
57,7,172.99,2.91,36.2,0.03
57,8,159.38,3.97,30.42,0.03
57,9,165.03,3.41,41.28,0.04
57,10,160.16,3.05,48.86,0.03
57,11,159.45,3.4,39.42,0.04
57,12,163.13,3.28,50.16,0.03
57,13,163.1,3.15,44.07,0.03
57,14,121.37,2.88,46.72,0.04
57,15,120.03,2.47,50.81,0.02
57,16,157.67,3.96,48.98,0.02
57,17,182.31,3.95,49.3,0.03
57,18,167.32,3.27,54.14,0.04
57,19,148.1,3.9,45.39,0.02
57,20,161.25,2.18,38.14,0.02
57,21,163.53,2.81,52.5,0.03
57,22,108.94,2.22,31.65,0.02
57,23,130.01,2.81,55.63,0.02
57,24,130.85,2.24,30.76,0.02
57,25,115.79,2.03,55.88,0.03
57,26,118.43,4.0,40.49,0.03
57,27,142.2,2.78,53.77,0.04
57,28,136.37,3.69,59.15,0.03
57,29,128.84,2.62,37.63,0.04
57,30,166.51,2.71,58.49,0.03
57,31,172.77,2.75,35.82,0.03
57,32,123.22,3.61,34.44,0.02
57,33,172.97,3.9,35.51,0.03
57,34,110.58,2.35,33.68,0.04
57,35,193.54,2.89,50.48,0.03
57,36,161.69,2.15,34.55,0.02
57,37,185.82,3.1,51.92,0.04
57,38,117.46,2.29,59.53,0.03
57,39,122.98,2.04,46.53,0.02
57,40,117.49,3.49,57.86,0.03
57,41,132.18,3.44,50.61,0.03
57,42,148.0,2.73,55.81,0.04
57,43,148.95,2.25,42.16,0.03
57,44,166.84,3.63,35.22,0.04
57,45,107.27,3.8,44.64,0.04
57,46,190.63,2.16,43.49,0.02
57,47,145.93,2.98,37.29,0.03
57,48,164.04,3.07,51.33,0.03
57,49,120.92,2.97,36.22,0.03
57,50,108.03,3.72,38.4,0.04
57,51,164.38,2.21,59.2,0.03
57,52,102.36,3.07,48.6,0.02
57,53,128.59,3.8,41.55,0.03
57,54,105.6,3.37,45.07,0.02
57,55,142.52,3.94,56.56,0.04
57,56,139.23,3.04,48.04,0.02
57,57,180.53,2.58,46.78,0.02
57,58,146.31,2.26,30.82,0.03
57,59,107.27,2.77,59.81,0.03
57,60,164.64,3.09,58.76,0.02
57,61,127.87,3.5,53.15,0.04
57,62,106.45,2.93,30.32,0.03
57,63,162.45,2.36,45.78,0.02
57,64,167.37,3.85,50.03,0.03
57,65,110.47,3.05,39.04,0.03
57,66,115.68,2.68,49.7,0.02
57,67,180.71,3.36,46.55,0.04
57,68,181.43,3.95,31.61,0.03
57,69,181.72,3.72,49.3,0.03
57,70,180.42,2.41,38.26,0.03
57,71,116.67,2.19,55.75,0.03
57,72,153.02,2.25,30.31,0.03
57,73,152.95,2.54,41.8,0.02
57,74,131.39,3.04,32.35,0.03
57,75,119.78,3.94,52.53,0.03
57,76,116.47,2.16,57.96,0.02
57,77,176.13,2.52,59.37,0.03
57,78,123.81,3.85,40.86,0.02
57,79,171.02,2.34,58.32,0.02
57,80,144.26,3.47,41.44,0.04
57,81,123.71,2.17,51.82,0.04
57,82,105.27,3.63,53.19,0.03
57,83,153.01,3.04,46.53,0.03
57,84,150.59,2.57,36.94,0.03
57,85,124.69,3.16,38.19,0.02
57,86,100.87,3.32,58.02,0.03
57,87,101.32,3.71,33.32,0.03
57,88,119.24,3.12,45.0,0.03
57,89,165.79,2.04,37.59,0.02
57,90,139.51,2.36,31.23,0.03
57,91,193.35,2.18,45.46,0.03
57,92,158.48,2.87,38.07,0.02
57,93,151.06,3.07,33.04,0.03
57,94,152.36,2.01,54.56,0.02
57,95,175.26,3.16,43.44,0.04
57,96,152.27,2.75,50.71,0.03
57,97,174.37,3.69,55.75,0.04
57,98,180.65,3.16,35.67,0.03
57,99,107.69,2.24,56.28,0.03
58,0,139.05,3.51,58.97,0.03
58,1,130.28,3.06,49.64,0.02
58,2,132.9,2.7,42.4,0.04
58,3,100.41,2.86,53.55,0.04
58,4,124.0,3.97,41.08,0.03
58,5,193.78,2.84,44.47,0.02
58,6,166.26,2.91,55.48,0.04
58,7,137.23,3.45,37.25,0.03
58,8,103.38,2.57,43.51,0.02
58,9,164.1,2.41,55.86,0.04
58,10,110.73,2.39,37.54,0.03
58,11,187.49,3.76,48.91,0.02
58,12,199.07,3.08,42.63,0.03
58,13,170.02,2.64,42.8,0.03
58,14,157.53,2.25,54.41,0.02
58,15,117.97,3.87,30.82,0.03
58,16,161.13,3.9,38.25,0.03
58,17,102.22,3.1,37.42,0.04
58,18,138.11,3.05,37.18,0.04
58,19,158.78,3.55,32.45,0.02
58,20,105.24,3.08,34.24,0.03
58,21,167.1,2.39,57.59,0.04
58,22,157.15,2.22,44.56,0.04
58,23,121.54,3.0,46.95,0.03
58,24,161.67,2.81,32.34,0.02
58,25,159.15,2.89,31.53,0.03
58,26,177.73,4.0,36.01,0.04
58,27,175.36,2.51,48.74,0.02
58,28,140.19,3.08,52.06,0.03
58,29,105.61,3.31,58.21,0.03
58,30,192.27,3.76,40.61,0.04
58,31,193.78,3.92,50.89,0.02
58,32,149.5,3.54,32.48,0.04
58,33,132.71,2.1,31.68,0.03
58,34,199.64,3.37,43.11,0.03
58,35,148.43,3.28,57.53,0.03
58,36,121.81,3.54,37.42,0.03
58,37,148.85,2.62,56.61,0.04
58,38,124.76,3.74,57.06,0.03
58,39,132.87,2.8,53.91,0.04
58,40,118.9,2.63,49.02,0.02
58,41,119.21,2.63,41.93,0.03
58,42,100.92,2.32,48.51,0.04
58,43,134.81,3.74,45.39,0.03
58,44,180.75,3.81,44.59,0.03
58,45,160.84,2.41,37.16,0.04
58,46,142.71,2.81,57.92,0.03
58,47,161.67,2.46,51.58,0.02
58,48,189.36,3.67,52.83,0.04
58,49,185.87,2.83,35.31,0.02
58,50,192.95,3.47,58.39,0.02
58,51,117.45,3.85,42.06,0.03
58,52,175.46,2.45,46.23,0.04
58,53,138.71,2.79,41.08,0.04
58,54,191.48,3.06,33.13,0.02
58,55,164.4,2.61,45.92,0.03
58,56,183.16,2.88,30.04,0.02
58,57,190.18,2.69,49.29,0.03
58,58,108.45,3.43,53.61,0.02
58,59,148.7,2.48,57.93,0.02
58,60,131.77,3.89,53.13,0.03
58,61,166.89,2.5,58.66,0.04
58,62,172.52,3.98,51.49,0.03
58,63,161.95,3.77,45.93,0.03
58,64,193.57,3.51,49.65,0.02
58,65,146.73,2.73,43.0,0.03
58,66,191.28,3.98,55.33,0.03
58,67,184.74,2.27,31.51,0.04
58,68,171.26,2.68,46.1,0.02
58,69,107.84,2.67,38.49,0.04
58,70,146.4,3.06,35.93,0.02
58,71,112.83,3.66,32.41,0.04
58,72,184.04,2.07,48.81,0.02
58,73,195.87,2.51,33.02,0.02
58,74,108.45,2.02,54.77,0.04
58,75,111.01,2.19,56.53,0.04
58,76,129.95,2.35,52.58,0.02
58,77,193.34,2.9,58.97,0.03
58,78,118.02,3.74,58.16,0.04
58,79,144.7,3.51,56.56,0.03
58,80,163.03,2.46,39.08,0.02
58,81,108.19,2.22,58.96,0.03
58,82,186.65,3.01,35.64,0.03
58,83,159.74,3.48,46.47,0.03
58,84,166.12,3.76,57.68,0.03
58,85,183.43,2.51,46.16,0.03
58,86,192.71,2.54,59.53,0.04
58,87,132.2,3.32,39.24,0.03
58,88,165.05,2.27,59.41,0.03
58,89,191.35,2.71,51.45,0.03
58,90,119.27,3.38,57.75,0.04
58,91,198.36,3.45,52.35,0.03
58,92,131.51,3.84,38.55,0.02
58,93,149.92,2.37,45.77,0.04
58,94,195.76,3.61,35.32,0.03
58,95,188.21,3.56,45.94,0.03
58,96,112.51,3.45,43.39,0.02
58,97,117.31,2.35,43.24,0.04
58,98,173.78,3.78,38.37,0.03
58,99,196.81,3.05,51.16,0.04
59,0,162.74,3.7,58.85,0.02
59,1,170.17,3.01,43.15,0.02
59,2,195.88,3.36,37.27,0.04
59,3,198.96,3.51,53.67,0.02
59,4,120.69,2.64,35.18,0.02
59,5,190.91,3.67,56.37,0.03
59,6,128.28,2.45,37.16,0.02
59,7,190.3,2.64,54.45,0.03
59,8,160.36,3.95,35.51,0.03
59,9,140.24,3.7,42.04,0.03
59,10,158.76,3.95,32.85,0.03
59,11,109.99,3.94,50.83,0.02
59,12,149.33,2.28,54.95,0.03
59,13,168.59,3.72,43.94,0.03
59,14,161.78,3.01,39.86,0.04
59,15,106.77,2.93,50.32,0.03
59,16,143.87,3.37,54.29,0.02
59,17,100.69,3.7,38.81,0.04
59,18,137.33,3.16,41.32,0.03
59,19,173.1,2.0,54.82,0.04
59,20,188.64,2.33,44.83,0.03
59,21,142.14,3.1,43.02,0.04
59,22,166.57,3.81,53.6,0.02
59,23,119.15,2.19,55.12,0.02
59,24,148.54,2.39,41.58,0.04
59,25,132.99,3.89,32.91,0.03
59,26,131.27,2.14,52.24,0.03
59,27,106.17,2.58,37.1,0.03
59,28,128.61,2.28,38.86,0.03
59,29,199.52,2.16,41.84,0.03
59,30,180.38,2.84,33.69,0.03
59,31,105.51,2.62,46.02,0.02
59,32,124.77,2.66,50.86,0.02
59,33,176.62,2.33,58.92,0.03
59,34,149.23,2.01,56.24,0.02
59,35,102.89,3.92,59.72,0.03
59,36,198.87,2.86,35.9,0.04
59,37,120.9,3.23,54.1,0.03
59,38,196.21,3.56,52.86,0.03
59,39,172.45,2.22,41.0,0.04
59,40,130.79,2.05,46.4,0.03
59,41,145.64,3.14,52.17,0.02
59,42,142.25,3.61,51.22,0.02
59,43,126.09,3.39,49.53,0.03
59,44,108.92,3.59,32.57,0.03
59,45,112.6,2.04,36.78,0.04
59,46,164.59,2.2,52.92,0.04
59,47,131.04,2.38,43.01,0.03
59,48,148.31,3.53,36.81,0.03
59,49,122.56,2.08,57.23,0.03
59,50,171.83,3.12,30.38,0.02
59,51,194.32,3.32,42.56,0.02
59,52,126.83,3.52,41.44,0.02
59,53,191.34,3.3,41.18,0.02
59,54,145.25,3.59,35.42,0.03
59,55,178.52,3.82,36.35,0.03
59,56,122.26,3.58,42.16,0.04
59,57,102.77,3.03,54.43,0.03
59,58,148.91,2.75,45.54,0.03
59,59,192.57,3.09,46.89,0.03
59,60,185.24,3.28,32.37,0.04
59,61,111.59,3.99,43.89,0.04
59,62,168.9,3.65,37.13,0.02
59,63,165.8,2.02,30.81,0.03
59,64,107.24,2.09,42.6,0.03
59,65,176.47,3.13,38.97,0.02
59,66,109.78,3.66,51.91,0.03
59,67,162.83,3.17,58.85,0.03
59,68,178.79,2.26,51.02,0.02
59,69,118.96,2.0,43.1,0.02
59,70,162.63,2.12,54.24,0.02
59,71,109.25,2.34,38.45,0.04
59,72,124.9,3.38,52.91,0.03
59,73,194.13,2.38,38.36,0.03
59,74,188.62,3.35,45.69,0.04
59,75,171.97,2.11,31.24,0.02
59,76,164.92,2.2,48.77,0.02
59,77,164.3,3.46,41.16,0.03
59,78,153.38,3.41,38.04,0.03
59,79,181.0,2.99,33.23,0.03
59,80,161.99,3.98,38.47,0.03
59,81,107.93,3.6,58.18,0.02
59,82,156.01,3.81,51.49,0.03
59,83,150.87,2.31,39.6,0.02
59,84,189.93,3.39,38.47,0.03
59,85,134.55,3.57,40.32,0.03
59,86,185.5,2.15,35.42,0.02
59,87,174.64,2.04,45.05,0.03
59,88,143.03,3.18,33.74,0.03
59,89,109.35,3.61,30.21,0.04
59,90,169.8,3.8,45.94,0.03
59,91,111.34,2.95,32.05,0.03
59,92,127.06,2.89,35.82,0.03
59,93,169.07,3.38,50.49,0.03
59,94,153.03,2.78,37.43,0.04
59,95,113.51,2.16,50.54,0.02
59,96,116.67,2.22,48.41,0.03
59,97,148.03,2.5,57.78,0.03
59,98,152.33,2.19,35.51,0.02
59,99,190.29,3.55,53.49,0.03
60,0,168.45,3.5,41.47,0.04
60,1,137.76,3.43,56.67,0.03
60,2,148.45,3.81,31.58,0.02
60,3,101.08,2.85,49.94,0.03
60,4,162.88,2.43,44.06,0.02
60,5,134.14,3.59,35.84,0.03
60,6,124.02,3.13,35.28,0.04
60,7,163.66,2.21,37.02,0.04
60,8,154.11,3.67,45.04,0.03
60,9,124.16,2.01,38.36,0.03
60,10,155.34,2.67,45.27,0.04
60,11,113.37,2.73,42.16,0.04
60,12,163.1,2.59,54.44,0.04
60,13,130.88,3.59,35.6,0.04
60,14,178.9,2.65,54.48,0.03
60,15,112.86,2.13,51.85,0.03
60,16,104.44,2.73,43.68,0.04
60,17,140.85,3.86,43.43,0.02
60,18,142.29,2.7,54.39,0.04
60,19,166.49,2.25,46.84,0.03
60,20,187.01,3.27,32.82,0.04
60,21,171.31,3.66,57.99,0.03
60,22,195.13,2.58,40.13,0.03
60,23,132.81,2.91,35.02,0.04
60,24,164.11,2.46,39.57,0.03
60,25,126.49,2.86,34.52,0.02
60,26,135.38,2.2,43.7,0.02
60,27,165.42,3.05,36.04,0.04
60,28,163.4,3.6,44.92,0.02
60,29,162.06,3.84,53.74,0.03
60,30,183.11,3.32,45.19,0.03
60,31,128.33,3.35,38.31,0.03
60,32,124.09,3.48,55.67,0.03
60,33,170.01,3.47,58.16,0.02
60,34,173.56,3.84,40.07,0.03
60,35,130.21,3.15,41.36,0.03
60,36,100.82,2.86,50.7,0.02
60,37,154.94,2.93,35.17,0.03
60,38,175.68,2.12,41.86,0.02
60,39,171.35,2.62,54.69,0.02
60,40,149.89,2.85,53.37,0.02
60,41,113.14,2.22,42.81,0.02
60,42,146.99,3.67,55.12,0.03
60,43,116.13,3.47,40.91,0.02
60,44,142.1,3.43,47.48,0.02
60,45,115.75,2.85,42.69,0.04
60,46,198.91,2.1,43.59,0.02
60,47,140.05,3.21,53.08,0.03
60,48,188.3,2.11,49.84,0.03
60,49,161.19,2.87,44.33,0.03
60,50,136.58,3.58,44.22,0.02
60,51,181.12,2.33,31.04,0.03
60,52,191.14,2.12,50.11,0.04
60,53,141.28,2.5,54.57,0.03
60,54,172.23,3.56,46.74,0.02
60,55,103.27,2.65,43.56,0.03
60,56,145.25,2.8,56.41,0.03
60,57,192.31,3.82,48.41,0.02
60,58,127.29,2.69,35.35,0.03
60,59,125.09,3.29,58.75,0.03
60,60,110.48,2.15,46.66,0.04
60,61,192.69,3.97,43.79,0.02
60,62,172.66,2.03,54.26,0.02
60,63,127.37,3.43,40.08,0.03
60,64,185.51,2.14,41.9,0.04
60,65,148.73,2.03,44.17,0.03
60,66,161.39,3.98,31.15,0.03
60,67,186.06,2.48,51.54,0.03
60,68,132.68,2.32,48.25,0.02
60,69,156.05,2.53,47.31,0.03
60,70,108.37,3.5,51.13,0.03
60,71,130.38,2.32,57.85,0.03
60,72,102.3,3.24,52.59,0.03
60,73,184.79,2.54,38.54,0.03
60,74,139.84,2.48,33.8,0.03
60,75,167.41,3.58,57.48,0.03
60,76,128.32,3.42,47.0,0.04
60,77,143.13,3.61,33.25,0.03
60,78,124.73,2.15,46.37,0.02
60,79,110.35,3.59,32.34,0.02
60,80,128.65,2.01,58.29,0.03
60,81,110.83,2.87,36.48,0.03
60,82,190.63,3.93,42.53,0.03
60,83,154.51,2.71,56.76,0.04
60,84,162.38,3.6,34.08,0.04
60,85,159.91,2.36,58.41,0.03
60,86,165.69,3.03,35.73,0.02
60,87,122.82,3.92,35.02,0.02
60,88,190.77,2.93,48.56,0.03
60,89,181.14,3.86,56.95,0.02
60,90,135.65,2.47,42.28,0.02
60,91,190.53,2.83,50.48,0.03
60,92,117.63,3.59,49.69,0.03
60,93,158.93,2.09,33.08,0.04
60,94,176.51,3.94,37.87,0.03
60,95,151.45,3.79,50.9,0.03
60,96,181.79,3.4,53.71,0.03
60,97,116.44,2.61,34.72,0.02
60,98,161.92,2.17,39.46,0.02
60,99,162.2,3.54,53.28,0.02
61,0,189.95,3.64,39.31,0.04
61,1,176.65,2.34,57.46,0.03
61,2,184.44,3.52,46.74,0.03
61,3,122.96,3.41,40.1,0.03
61,4,114.41,2.67,54.13,0.03
61,5,195.43,2.22,50.67,0.02
61,6,147.21,3.3,33.78,0.03
61,7,122.78,2.79,59.17,0.02
61,8,102.13,2.8,34.96,0.03
61,9,188.54,3.33,57.01,0.03
61,10,176.33,3.88,46.44,0.04
61,11,135.78,2.47,45.59,0.03
61,12,156.45,2.29,58.23,0.02
61,13,197.17,2.58,55.5,0.03
61,14,187.51,2.35,54.17,0.03
61,15,167.19,2.01,34.24,0.04
61,16,110.68,3.2,33.1,0.03
61,17,192.28,2.71,32.9,0.03
61,18,184.31,3.22,55.15,0.03
61,19,182.27,2.88,59.85,0.03
61,20,193.87,3.56,44.27,0.04
61,21,179.33,2.54,40.98,0.03
61,22,185.32,3.29,58.74,0.03
61,23,106.6,3.24,43.0,0.03
61,24,147.64,3.71,44.71,0.03
61,25,165.14,3.76,36.91,0.02
61,26,140.61,3.27,39.67,0.02
61,27,149.76,2.62,39.72,0.04
61,28,190.51,3.59,46.67,0.03
61,29,105.4,2.18,59.73,0.03
61,30,106.15,2.72,46.77,0.02
61,31,114.05,3.27,52.96,0.02
61,32,139.47,2.61,54.86,0.02
61,33,144.72,3.71,58.29,0.04
61,34,198.78,2.32,57.28,0.03
61,35,153.21,3.39,42.53,0.03
61,36,166.96,3.07,57.49,0.03
61,37,125.89,2.3,42.93,0.03
61,38,137.81,3.38,41.58,0.02
61,39,166.67,3.79,32.8,0.02
61,40,151.96,3.26,31.0,0.04
61,41,135.64,3.66,43.19,0.04
61,42,140.44,3.48,46.26,0.02
61,43,163.83,3.7,35.43,0.02
61,44,183.48,3.71,49.21,0.03
61,45,107.66,3.69,55.6,0.03
61,46,170.37,3.4,58.97,0.04
61,47,148.08,2.33,43.64,0.03
61,48,162.83,3.75,42.8,0.02
61,49,151.14,2.67,52.83,0.04
61,50,169.5,3.0,30.65,0.03
61,51,115.99,3.09,49.66,0.02
61,52,179.68,3.99,40.37,0.02
61,53,140.8,2.82,56.84,0.02
61,54,185.01,2.29,37.5,0.02
61,55,143.65,3.46,49.96,0.03
61,56,107.25,3.54,40.42,0.03
61,57,164.85,3.02,53.46,0.02
61,58,189.79,3.77,59.06,0.03
61,59,196.62,3.2,37.47,0.04
61,60,170.12,2.05,54.23,0.02
61,61,137.5,2.01,43.45,0.03
61,62,174.51,3.78,46.51,0.03
61,63,115.79,2.59,38.89,0.02
61,64,111.64,2.94,32.12,0.03
61,65,144.35,3.07,43.92,0.03
61,66,127.4,2.77,58.31,0.03
61,67,194.66,2.27,51.26,0.03
61,68,173.0,3.32,40.35,0.04
61,69,111.14,3.86,59.99,0.03
61,70,160.22,3.31,58.07,0.03
61,71,171.21,2.85,47.55,0.03
61,72,171.14,2.65,47.89,0.04
61,73,140.2,2.45,47.88,0.03
61,74,195.83,3.3,45.41,0.02
61,75,171.35,2.34,41.02,0.04
61,76,165.02,3.81,54.79,0.02
61,77,192.52,3.84,34.14,0.03
61,78,181.45,3.11,57.04,0.03
61,79,109.65,3.6,36.05,0.04
61,80,107.73,3.87,42.73,0.03
61,81,159.29,2.33,54.81,0.03
61,82,109.77,2.64,47.61,0.04
61,83,135.52,3.29,44.43,0.04
61,84,119.59,3.17,30.7,0.04
61,85,145.95,2.43,59.75,0.03
61,86,140.11,3.01,56.71,0.03
61,87,127.61,2.05,54.53,0.03
61,88,139.29,2.71,40.78,0.02
61,89,183.47,2.88,46.39,0.04
61,90,106.93,3.12,31.96,0.02
61,91,151.18,3.74,56.26,0.03
61,92,149.5,3.08,37.83,0.03
61,93,144.93,2.25,35.24,0.03
61,94,135.88,3.86,54.36,0.03
61,95,172.45,2.05,40.42,0.03
61,96,127.77,3.3,50.33,0.03
61,97,192.82,2.16,47.0,0.02
61,98,100.5,3.63,54.18,0.02
61,99,183.36,2.34,51.48,0.04
62,0,189.62,2.72,55.71,0.03
62,1,125.79,2.89,33.18,0.03
62,2,171.77,3.73,55.16,0.03
62,3,186.54,3.84,53.18,0.03
62,4,106.66,3.76,44.07,0.03
62,5,142.76,3.36,35.06,0.04
62,6,137.82,3.29,53.15,0.03
62,7,101.21,2.95,58.89,0.03
62,8,192.6,2.27,33.83,0.03
62,9,105.31,3.89,54.21,0.02
62,10,125.48,2.58,33.76,0.03
62,11,182.54,3.51,38.42,0.04
62,12,182.57,3.98,40.3,0.04
62,13,159.08,2.0,33.56,0.04
62,14,102.34,2.08,46.04,0.03
62,15,175.08,2.21,47.56,0.02
62,16,108.01,3.68,31.47,0.04
62,17,168.55,2.45,41.56,0.03
62,18,103.28,2.17,39.31,0.02
62,19,196.55,3.64,30.14,0.03
62,20,165.18,2.83,30.14,0.03
62,21,177.83,2.15,36.25,0.03
62,22,149.62,2.35,30.09,0.03
62,23,161.32,3.99,36.72,0.03
62,24,169.81,3.72,34.37,0.03
62,25,151.31,2.6,58.39,0.03
62,26,161.71,2.16,31.67,0.02
62,27,157.51,3.01,45.27,0.02
62,28,185.94,2.45,43.48,0.03
62,29,110.03,3.88,43.02,0.02
62,30,175.34,3.53,40.5,0.03
62,31,169.4,2.65,53.25,0.04
62,32,184.06,2.81,47.19,0.02
62,33,104.77,2.1,36.24,0.02
62,34,107.46,2.86,45.79,0.03
62,35,149.08,2.42,45.49,0.03
62,36,199.9,3.22,50.17,0.03
62,37,198.37,2.12,42.65,0.04
62,38,154.16,3.85,50.18,0.03
62,39,167.49,2.78,35.62,0.03
62,40,163.82,2.52,43.09,0.04
62,41,176.24,3.05,33.33,0.03
62,42,105.33,2.9,43.46,0.03
62,43,173.06,2.92,34.26,0.02
62,44,172.46,2.35,42.44,0.02
62,45,115.14,3.37,38.11,0.04
62,46,178.28,3.06,39.1,0.02
62,47,179.57,3.69,58.12,0.03
62,48,107.98,3.14,36.35,0.04
62,49,105.19,2.2,57.22,0.03
62,50,191.88,2.56,42.28,0.02
62,51,162.44,3.44,52.49,0.03
62,52,148.32,2.68,39.09,0.02
62,53,182.74,2.91,34.14,0.04
62,54,113.25,3.2,42.49,0.02
62,55,162.29,2.89,59.0,0.02
62,56,139.45,2.49,51.24,0.03
62,57,161.12,3.75,58.04,0.03
